Id,ticker,Date,Time,Open,High,Low,Close
1,GBPJPY,2026-03-04,01:00:00,187.750,188.050,187.650,188.000
2,GBPJPY,2026-03-04,02:00:00,188.000,188.300,187.900,188.250
3,GBPJPY,2026-03-04,03:00:00,188.250,188.550,188.150,188.500
4,GBPJPY,2026-03-04,04:00:00,188.500,188.800,188.400,188.750
5,GBPJPY,2026-03-04,05:00:00,188.750,189.050,188.650,189.000
6,GBPJPY,2026-03-04,06:00:00,189.000,189.300,188.900,189.250
7,GBPJPY,2026-03-04,07:00:00,189.250,189.550,189.150,189.500
8,GBPJPY,2026-03-04,08:00:00,189.500,189.800,189.400,189.750
9,GBPJPY,2026-03-04,09:00:00,189.750,190.050,189.650,190.000
10,GBPJPY,2026-03-04,10:00:00,190.000,190.300,189.900,190.250
11,GBPJPY,2026-03-04,11:00:00,190.250,190.550,190.150,190.500
12,GBPJPY,2026-03-04,12:00:00,190.500,190.800,190.400,190.750
13,GBPJPY,2026-03-04,13:00:00,190.750,191.050,190.650,191.000
14,GBPJPY,2026-03-04,14:00:00,191.000,191.300,190.900,191.250
15,GBPJPY,2026-03-04,15:00:00,191.250,191.550,191.150,191.500
16,EURUSD,2026-03-04,01:00:00,1.07800,1.07960,1.07740,1.07900
17,EURUSD,2026-03-04,02:00:00,1.07900,1.08060,1.07840,1.08000
18,EURUSD,2026-03-04,03:00:00,1.08000,1.08160,1.07940,1.08100
19,EURUSD,2026-03-04,04:00:00,1.08100,1.08260,1.08040,1.08200
20,EURUSD,2026-03-04,05:00:00,1.08200,1.08360,1.08140,1.08300
21,EURUSD,2026-03-04,06:00:00,1.08300,1.08460,1.08240,1.08400
22,EURUSD,2026-03-04,07:00:00,1.08400,1.08560,1.08340,1.08500
23,EURUSD,2026-03-04,08:00:00,1.08500,1.08660,1.08440,1.08600
24,EURUSD,2026-03-04,09:00:00,1.08600,1.08760,1.08540,1.08700
25,EURUSD,2026-03-04,10:00:00,1.08700,1.08860,1.08640,1.08800
26,EURUSD,2026-03-04,11:00:00,1.08800,1.08960,1.08740,1.08900
27,EURUSD,2026-03-04,12:00:00,1.08900,1.09060,1.08840,1.09000
28,EURUSD,2026-03-04,13:00:00,1.09000,1.09160,1.08940,1.09100
29,EURUSD,2026-03-04,14:00:00,1.09100,1.09260,1.09040,1.09200
30,EURUSD,2026-03-04,15:00:00,1.09200,1.09360,1.09140,1.09300
31,GBPUSD,2026-03-04,01:00:00,1.26200,1.26320,1.26160,1.26250
32,GBPUSD,2026-03-04,02:00:00,1.26250,1.26370,1.26210,1.26300
33,GBPUSD,2026-03-04,03:00:00,1.26300,1.26420,1.26260,1.26350
34,GBPUSD,2026-03-04,04:00:00,1.26350,1.26470,1.26310,1.26400
35,GBPUSD,2026-03-04,05:00:00,1.26400,1.26520,1.26360,1.26450
36,GBPUSD,2026-03-04,06:00:00,1.26450,1.26570,1.26410,1.26500
37,GBPUSD,2026-03-04,07:00:00,1.26500,1.26620,1.26460,1.26550
38,GBPUSD,2026-03-04,08:00:00,1.26550,1.26670,1.26510,1.26600
39,GBPUSD,2026-03-04,09:00:00,1.26600,1.26720,1.26560,1.26650
40,GBPUSD,2026-03-04,10:00:00,1.26650,1.26770,1.26610,1.26700
41,GBPUSD,2026-03-04,11:00:00,1.26700,1.26820,1.26660,1.26750
42,GBPUSD,2026-03-04,12:00:00,1.26750,1.26870,1.26710,1.26800
43,GBPUSD,2026-03-04,13:00:00,1.26800,1.26920,1.26760,1.26850
44,GBPUSD,2026-03-04,14:00:00,1.26850,1.26970,1.26810,1.26900
45,GBPUSD,2026-03-04,15:00:00,1.26900,1.27020,1.26860,1.26950
46,USDJPY,2026-03-04,01:00:00,149.200,149.425,149.125,149.300
47,USDJPY,2026-03-04,02:00:00,149.300,149.525,149.225,149.400
48,USDJPY,2026-03-04,03:00:00,149.400,149.625,149.325,149.500
49,USDJPY,2026-03-04,04:00:00,149.500,149.725,149.425,149.600
50,USDJPY,2026-03-04,05:00:00,149.600,149.825,149.525,149.700
51,USDJPY,2026-03-04,06:00:00,149.700,149.925,149.625,149.800
52,USDJPY,2026-03-04,07:00:00,149.800,150.025,149.725,149.900
53,USDJPY,2026-03-04,08:00:00,149.900,150.125,149.825,150.000
54,USDJPY,2026-03-04,09:00:00,150.000,150.225,149.925,150.100
55,USDJPY,2026-03-04,10:00:00,150.100,150.325,150.025,150.200
56,USDJPY,2026-03-04,11:00:00,150.200,150.425,150.125,150.300
57,USDJPY,2026-03-04,12:00:00,150.300,150.525,150.225,150.400
58,USDJPY,2026-03-04,13:00:00,150.400,150.625,150.325,150.500
59,USDJPY,2026-03-04,14:00:00,150.500,150.725,150.425,150.600
60,USDJPY,2026-03-04,15:00:00,150.600,150.825,150.525,150.700
61,USDCAD,2026-03-04,01:00:00,1.35200,1.35425,1.35125,1.35300
62,USDCAD,2026-03-04,02:00:00,1.35300,1.35525,1.35225,1.35400
63,USDCAD,2026-03-04,03:00:00,1.35400,1.35625,1.35325,1.35500
64,USDCAD,2026-03-04,04:00:00,1.35500,1.35725,1.35425,1.35600
65,USDCAD,2026-03-04,05:00:00,1.35600,1.35825,1.35525,1.35700
66,USDCAD,2026-03-04,06:00:00,1.35700,1.35925,1.35625,1.35800
67,USDCAD,2026-03-04,07:00:00,1.35800,1.36025,1.35725,1.35900
68,USDCAD,2026-03-04,08:00:00,1.35900,1.36125,1.35825,1.36000
69,USDCAD,2026-03-04,09:00:00,1.36000,1.36225,1.35925,1.36100
70,USDCAD,2026-03-04,10:00:00,1.36100,1.36325,1.36025,1.36200
71,USDCAD,2026-03-04,11:00:00,1.36200,1.36425,1.36125,1.36300
72,USDCAD,2026-03-04,12:00:00,1.36300,1.36525,1.36225,1.36400
73,USDCAD,2026-03-04,13:00:00,1.36400,1.36625,1.36325,1.36500
74,USDCAD,2026-03-04,14:00:00,1.36500,1.36725,1.36425,1.36600
75,USDCAD,2026-03-04,15:00:00,1.36600,1.36825,1.36525,1.36700
76,EURGBP,2026-03-04,01:00:00,0.85400,0.85490,0.85370,0.85440
77,EURGBP,2026-03-04,02:00:00,0.85440,0.85530,0.85410,0.85480
78,EURGBP,2026-03-04,03:00:00,0.85480,0.85570,0.85450,0.85520
79,EURGBP,2026-03-04,04:00:00,0.85520,0.85610,0.85490,0.85560
80,EURGBP,2026-03-04,05:00:00,0.85560,0.85650,0.85530,0.85600
81,EURGBP,2026-03-04,06:00:00,0.85600,0.85690,0.85570,0.85640
82,EURGBP,2026-03-04,07:00:00,0.85640,0.85730,0.85610,0.85680
83,EURGBP,2026-03-04,08:00:00,0.85680,0.85770,0.85650,0.85720
84,EURGBP,2026-03-04,09:00:00,0.85720,0.85810,0.85690,0.85760
85,EURGBP,2026-03-04,10:00:00,0.85760,0.85850,0.85730,0.85800
86,EURGBP,2026-03-04,11:00:00,0.85800,0.85890,0.85770,0.85840
87,EURGBP,2026-03-04,12:00:00,0.85840,0.85930,0.85810,0.85880
88,EURGBP,2026-03-04,13:00:00,0.85880,0.85970,0.85850,0.85920
89,EURGBP,2026-03-04,14:00:00,0.85920,0.86010,0.85890,0.85960
90,EURGBP,2026-03-04,15:00:00,0.85960,0.86050,0.85930,0.86000
91,EURJPY,2026-03-04,01:00:00,161.500,161.750,161.400,161.650
92,EURJPY,2026-03-04,02:00:00,161.650,161.900,161.550,161.800
93,EURJPY,2026-03-04,03:00:00,161.800,162.050,161.700,161.950
94,EURJPY,2026-03-04,04:00:00,161.950,162.200,161.850,162.100
